Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Adjusted Slot Bonus
119,TJ Pompey,SS,Arkansas,C,https://pbs.twimg.com/media/G28V8GZWEAAlIJV?format=jpg&name=4096x4096,119,"$635,700","$635,700"
120,Ty Head,OF,NC State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgopack.com%2Fimages%2F2024%2F11%2F26%2FTy_Head.png&width=180&height=270&type=webp,120,"$629,500","$629,500"
121,Ethan Norby,LHP,East Carolina,C,https://bloximages.newyork1.vip.townnews.com/reflector.com/content/tncms/assets/v3/editorial/d/e9/de9b2404-fbb6-11ef-9da9-5b9a3210c728/67cb938ede876.image.jpg?crop=1127%2C702%2C30%2C260&resize=803%2C500&order=crop%2Cresize,121,"$623,300","$623,300"
122,Carson Wiggins,RHP,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/44-Carson-Wiggins-BSB-2025-121464-1x1-1.jpg,122,"$617,200","$617,200"
123,Jarren Purify,2B,Clemson,C,https://clemsontigers.com/amt-media/743375,123,"$611,300","$611,300"
124,Luke Costello,OF,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FLuke_Costello_Headshot_gpjcl.JPG&width=180&height=270&type=webp,124,"$605,300","$605,300"
125,Cade Belyeu,OF,Auburn,C,https://auburntigers.com/imgproxy/oTiAxpQDbMJdj45CJ0j4UNvfQQxUqvR_Xf1Vv9zwwXs/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2F1YnVybi1wcm9kLzIwMjQvMDkvMTEvS0MwQ0JncGJ1aWxMUTYzTVV3aWhOVmp0OXo2UFN1UUk3Tkp3TVo2OS5qcGc.jpg,125,"$599,600","$599,600"
126,Ryan Harwood,OF,Casteel,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/t3q2lpaoc4gjtul2lxe3.jpg",126,"$594,500","$1,000,000"
127,Jace Mataczynski,SS,Hudson,H,https://pbs.twimg.com/profile_images/1843851958567792640/fSe0d9Xr_400x400.jpg,127,"$588,900","$1,000,000"
128,Gavin Gallaher,2B,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2024%2F11%2F14%2FGallaher_Gavin.2025.bb.141.jpg&width=180&height=270&type=webp,128,"$582,900","$582,900"
129,Jaxon Willits,SS,Oklahoma,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsoonersports.com%2Fimages%2F2024%2F8%2F28%2FBB_Headshots_Jaxon_Willits_OUA06568.JPG&width=180&height=270&type=webp,129,"$577,400","$577,400"
130,Eric Segura,RHP,Oregon State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F28%2F25BB_Headshot_SeguraEric_00630.jpg&width=180&height=270&type=webp,130,"$571,500","$571,500"
131,Shane Sdao,LHP,Texas A&M,C,https://12thman.com/images/2025/1/14/Sdao_-Shane.jpg,131,"$567,000","$567,000"
132,Myles Bailey,1B,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2024%2F9%2F2%2FBailey__Myles.JPG&width=180&height=270&type=webp,132,"$561,400","$561,400"
133,Daniel Cuvet,3B,Miami,C,https://s3media.247sports.com/Uploads/Assets/29/269/12269029.jpg,133,"$555,800","$555,800"
134,Joe Tiroly,2B,Virginia,C,https://virginiasports.com/imgproxy/3t3_oxIqsmhd_MD-YSiHCJTgBrJWcF4MrhYIV3LcV6A/fit/600/800/ce/0/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Zpcmdpbmlhc3BvcnRzLWNvbS8yMDI1LzA5L0pvZS1UaXJvbHlfMjAyNTA5MDJfQlNCX0hlYWRzaG90X09NXzAwMzUuanBn.jpg,134,"$550,300","$550,300"
135,Chris McHugh,1B,NC State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgopack.com%2Fimages%2F2024%2F11%2F26%2FChris_McHugh.png&width=180&height=270&type=webp,135,"$544,900","$544,900"
136,Blake Bryant,RHP,Citizens Christian Academy,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/4097217.jpeg,136,"$539,700","$1,000,000"
137,Wes Mendes,LHP,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2024%2F9%2F2%2FMendes__Wes.JPG&width=180&height=270&type=webp,137,"$534,400","$534,400"
138,Cooper Webb,RHP,Lake Travis,H,https://static.hudl.com/users/prod/21757031_16739e768bcb4cb699204796635b964d.jpg,138,"$529,100","$1,000,000"
139,Duncan Marsten,RHP,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FDuncan_Marsten_Headshot_0d58K.JPG&width=180&height=270&type=webp,139,"$523,900","$523,900"
140,Cade Townsend,RHP,Ole Miss,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Folemisssports.com%2Fimages%2F2025%2F1%2F30%2FTownsend__Cade_2025_CHS.jpg&width=180&height=270&type=webp,140,"$519,100","$519,100"
141,Clayton Freshcorn,RHP,Texas A&M,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftamu.sidearmsports.com%2Fimages%2F2025%2F1%2F14%2FFreshcorn_-Clayton.jpg&width=180&height=270&type=webp,141,"$513,900","$513,900"
142,Elliot Lascelles,SS,Upper Canada College,H,https://digitalshift-assets.sfo2.cdn.digitaloceanspaces.com/pw/6bccf042-d1a5-452e-a526-a37813bd2593/p-3d9b8e55-9360-4637-a29a-e0f5402ba783/1731456446-1223.jpg,142,"$508,900","$1,000,000"
143,Trey Ebel,SS,Corona,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/vojjfze4dhmj4d0zw002.jpg",143,"$503,800","$1,000,000"
144,Andrew Costello,C,Cathedral Prep,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/j5vfovrbmhwbri8minsa.jpg",144,"$499,000","$1,000,000"
145,Luke McNeillie,RHP,Florida,C,https://floridagators.com/images/2025/1/6/McNeillie_Luke.jpg,145,"$493,900","$493,900"
146,Savion Sims,RHP,Prestonwood Christian,H,https://i1.sndcdn.com/artworks-3HUqGIYCQU9ie10Z-TKyeRg-t500x500.jpg,146,"$489,200","$1,000,000"
147,Colten Springall,2B,Lipscomb Academy,H,https://dashboard.nationalpid.com/uploads/612291_PROFILE_IMG_31714.png,147,"$484,400","$1,000,000"
148,Isaiah Hearn,OF,Chaminade Prep,H,https://www.dailynews.com/wp-content/uploads/2024/03/LDN-L-PREP-BB-SC-0321-03-1.jpg?w=640,148,"$479,800","$1,000,000"
149,Jake Brown,OF/LHP,LSU,C,https://www.tuscaloosanews.com/gcdn/authoring/authoring-images/2024/05/24/NTTN/73830034007-tus-sec-lsu-south-carolina-gc-2385.jpg?width=474&height=610&fit=crop&format=pjpg&auto=webp,149,"$475,000","$475,000"
150,Eric Zdunek,OF,Orange Lutheran,H,https://pbs.twimg.com/profile_images/1822479554243649536/KTWmgzrJ_400x400.jpg,150,"$470,100","$1,000,000"
151,Jamir Johnson,OF,Locust Grove,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyvtTurmjdF_vJ4hx-w9DMbRwuO3shL7znLg&s,151,"$465,400","$600,000"
152,A.J. Evasco,1B/OF,Kansas State,C,https://pbs.twimg.com/profile_images/1892383706410577920/JYc5ELPg_400x400.jpg,152,"$461,100","$461,100"
153,Malachi Washington,OF,Parkview,H,https://pbs.twimg.com/profile_images/1832986692325724160/F0eCbuMM_400x400.jpg,153,"$456,400","$600,000"
154,Jason Amalbert,OF/SS,DePaul Catholic,H,https://cdn.shopify.com/s/files/1/0625/7698/4296/files/Screenshot_2025-04-25_at_1.54.51_PM.png?v=1745603698,154,"$452,000","$600,000"
155,Keon Johnson,SS,First Presbyterian Day,H,https://image.maxpreps.io/careers/0/8/8/0888f6f2-c8ec-4ad0-a622-24d9547d00d1/thumbnail.jpg?version=638829215237510550,155,"$447,400","$600,000"
156,CJ Weinstein,SS,Orange Lutheran,H,"https://image.maxpreps.io/rosters/76954902-6d31-4d59-b6f4-dbdf36f35ff5/4/c/c/4cc8e804-f911-4295-b66f-2ab9566db959/original.jpg?version=638446535350500927&width=1024&crop=1:1,smart",156,"$443,100","$600,000"
157,Dylan Bowen,SS,Hanover Central,H,"https://www.chicagotribune.com/wp-content/uploads/2024/04/PTB-L-BAS-BOWEN-0424-e1713877059656.jpg?w=1800&resize=1800,1800",157,"$438,600","$600,000"
158,Anthony Del Angel,OF,V. Sue Cleveland,H,https://bloximages.chicago2.vip.townnews.com/rrobserver.com/content/tncms/assets/v3/editorial/2/61/261c79e2-c5cf-433f-a68f-5f6f72decb24/680ffe6154edd.image.jpg?resize=400%2C295,158,"$434,400","$600,000"
159,Jacob Bean,RHP,Louisville,C,https://pbs.twimg.com/media/G2yOofIWQAAWxVJ?format=jpg&name=medium,159,"$430,600","$430,600"
160,Alex Conover,OF,Oklahoma State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fokstate.com%2Fimages%2F2024%2F9%2F21%2FConover_Alex_o3FlJ.JPG&width=180&height=270&type=webp,160,"$426,600","$426,600"
161,Gunner Skelton,3B,Columbia Academy,H,https://pbs.twimg.com/profile_images/1926769631093571584/5lvd-Imr_400x400.jpg,161,"$422,700","$600,000"
162,Grayson Willoughby,RHP,Trinity,H,https://pbs.twimg.com/profile_images/1959326978990891008/-ASGhQme_400x400.jpg,162,"$418,700","$400,000"
163,Gary Morse,RHP/OF,Orange Lutheran,H,https://oluathletics.org/images/2025/2/3/Gary_Morse_13_6DK1l.JPG,163,"$415,100","$600,000"
164,Pablo David Figueroa Roman,RHP,Central Pointe Christian,H,https://static.wbsc.org/upload/ececd7cc-8b5f-bd62-df64-4a75f889fdb7.jpeg,164,"$411,100","$600,000"
165,Logan Georges,RHP,Clovis,H,https://pbs.twimg.com/media/G5kkqQvWwAEvH_p.jpg,165,"$407,300","$600,000"
166,Cole Tryba,LHP,UC Santa Barbara,C,https://ucsbgauchos.com/images/2024/12/22/Cole_Tryba_Baseball_Headshot_2025_0054_GW4O5.jpg,166,"$403,900","$407,300"
167,Bryce Hill,RHP,Greenwich Country Day School,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/747455.jpg,167,"$400,400","$600,000"
168,Teagan Scott,C,South Salem,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/yb3b6mwyucejyzobiq0h.jpg",168,"$397,000","$600,000"
169,Aaron Dierks,RHP,West Springfield,H,https://pbs.twimg.com/profile_images/1854150580643442699/G6ccvsLZ_400x400.jpg,169,"$393,700","$600,000"
170,Jake Schaffner,SS,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2025%2F10%2F2%2FSchaffner_Jake.2026.bb..2833.jpg&width=180&height=270&type=webp,170,"$390,100","$393,700"
171,PJ Moutzouridis,SS,Arizona State,C,https://thesundevils.com/imgproxy/dnYgaGls0X89m8k_hTzW1_LF_GC5IB4WhmhY67HO9ZA/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3RoZXN1bmRldmlscy1jb20tcHJvZC8yMDI1LzA5LzA4L1JjZ1NUN3RpcmdXQ0NKWGdiMTdsUWd3MG9RS1BHZXBFMG94MktZVTEuanBn.jpg,171,"$386,700","$390,100"
172,Isaiah James,LHP,South Central,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/9270459.jpeg,172,"$383,600","$600,000"
173,Roman Martin,SS,UCLA,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2024%2F12%2F10%2FMartin_Roman01.png&width=180&height=270&type=webp,173,"$380,500","$383,600"
174,Ryan McKay,2B,Michigan State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fmsuspartans.com%2Fimages%2F2025%2F1%2F26%2FMcKay__Ryan_11.14.24_MSU_BASEBALL_PORTRAITS_0597_CxRyX.JPG&width=180&height=270&type=webp,174,"$377,100","$380,500"
175,Carter Beck,OF,Indiana State,C,https://gosycamores.com/images/2025/1/30/12_Carter_Beck.jpg?width=300,175,"$374,100","$377,100"
176,Ryan Marohn,LHP,NC State,C,https://gopack.com/images/2025/8/20/Ryan_Marohn.png,176,"$371,000","$374,100"
177,Camden Kozeal,2B,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/8-Cam-Kozeal-BSB-2025-121261-1x1-1.jpg,177,"$367,900","$371,000"
178,Anthony Murphy,OF,Corona,H,https://image.maxpreps.io/careers/a/4/1/a4134182-c923-4849-8156-904fc2520511/thumbnail.jpg?version=638840722190256852,178,"$364,800","$600,000"
179,Mulivai Levu,1B,UCLA,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2024%2F12%2F10%2FLevu_Mulivai01.png&width=180&height=270&type=webp,179,"$361,600","$364,800"
180,Logan Reddemann,RHP,UCLA,C,https://pbs.twimg.com/profile_images/1951113472122691587/wPjhzcq4_400x400.jpg,180,"$358,700","$361,600"
181,Mickey Gilligan,C,Passaic Tech,H,https://www.nj.com/resizer/v2/XYENULI3XFDXJDOYULTI7D5HCQ.JPG?auth=a5a77f25a79ab2919b82c9ab0c8fa4d088481a4cd55f28675f7b4d63e4f37216&width=1280&smart=true&quality=90,181,"$355,800","$600,000"
182,Matthew Mansbery,SS,Walsh Jesuit,H,https://www.beaconjournal.com/gcdn/authoring/authoring-images/2025/06/06/NABJ/84060981007-walsh-lakewood-base-14.JPG,182,"$353,100","$600,000"
183,Nicholas Riordan,SS,Central,H,https://pbs.twimg.com/profile_images/1818717999085338624/FoxHxvB5_400x400.jpg,183,"$350,200","$600,000"
184,Will Gasparino,OF,UCLA,C,https://pbs.twimg.com/media/GziBuKiaMAABojf?format=jpg&name=large,184,"$347,100","$350,200"
185,Dominic Voegele,RHP,Kansas,C,https://kuathletics.com/images/2025/1/18/Voegele_Dominic_62.JPG,185,"$344,400","$347,100"
186,Josh Skowronski,OF,Winthrop,C,https://images.sidearmdev.com/convert?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwinthropeagles.com%2Fimages%2F2025%2F4%2F28%2FJosh_Skowronski_3.jpg&type=webp,186,"$341,600","$344,400"
187,Phinn Waters,LHP,Briarcrest Christian,H,"https://www.commercialappeal.com/gcdn/authoring/authoring-images/2025/04/09/PMCA/83002713007-dsc-00675.jpg?crop=1365,1364,x204,y0",187,"$338,900","$600,000"
188,Bo Holloway,LHP,Nolensville,H,https://s.yimg.com/ny/api/res/1.2/ExlboitT3tAbZIi2lcCGxg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTQzNDtjZj13ZWJw/https://media.zenfs.com/en/the_tennessean_natl_articles_921/e4f6b1b4f50784f1b9c042a270277812,188,"$336,100","$600,000"
189,Alain Gomez-Gudiño,C,Saguaro,H,https://pbs.twimg.com/profile_images/1801401774794018816/-QSkoYBA_400x400.jpg,189,"$333,500","$600,000"
190,Landon Brown,RHP/3B,Iowa Colony,H,https://pbs.twimg.com/profile_images/1631144067856838656/pl_jPV15_400x400.jpg,190,"$330,600","$600,000"
191,Brody Schumaker,SS,Santa Margarita,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/mzv88mzejiwyuc0dqzeo.jpg",191,"$327,800","$600,000"
192,Dylan Cheek,SS,Rockwall,H,https://wehco.media.clients.ellingtoncms.com/img/photos/2024/10/02/Dylan_Cheek_t1200.jpeg?57a0c2296240c280e9492005c3cad63e7cbe80f4,192,"$325,100","$600,000"
193,Russell Sandefer,RHP,Florida,C,https://ucfknights.com/imgproxy/n1nC2gr58CAEqDSwxEoYqPXaNQ3_dk8xOIHz_sH-mNY/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3VjZmtuaWdodHMtY29tLXByb2QvMjAyNC8xMi8wOS9iajBYdndUalZ5NWVYRGV2eUNRUGVLTkJxT1M1bGphZVpKMGxVTW85LnBuZw.png,193,"$322,300","$325,100"
194,Easton Breyfogle,OF,Arizona,C,https://d11rxijfksshz7.cloudfront.net/images/2025/1/30/250128_BSB_Media_Day_Madison_Farwell0271.jpg?width=300,194,"$319,800","$322,300"
195,Jaden Bastian,OF,Florida,C,https://pbs.twimg.com/media/G4ICsAIXEAAIkrf?format=jpg&name=small,195,"$317,200","$319,800"
196,Landon Koenig,RHP,Ole Miss,C,https://pbs.twimg.com/profile_images/1937338874360897536/qLyORa03_400x400.jpg,196,"$314,500","$317,200"
197,Dalton Wentz,2B/3B,Wake Forest,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fwakeforestsports.com%2Fimages%2F2025%2F1%2F28%2FDalton_Wentz_Headshot_w44gq.JPG&width=180&height=270&type=webp,197,"$311,900","$314,500"
198,Garrett Wright,C,Tennessee,C,"https://on3static.com/cdn-cgi/image/height=417,width=795,quality=90,fit=cover,gravity=0.5x0.5/uploads/dev/assets/cms/2025/06/12124203/thumbnail_IMG_0349.png",198,"$309,400","$311,900"
199,Nathan Taylor,RHP,Cincinnati,C,https://pbs.twimg.com/profile_images/1879016777297928192/0iPsSmHM_400x400.jpg,199,"$306,700","$309,400"
200,James Tronstein,OF/SS,Harvard-Westlake,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/pdxtcvvkm5zl8rsirsmj.jpg",200,"$304,200","$600,000"
201,CJ Sampson,3B/RHP,Tomball,H,https://d3t3ozftmdmh3i.cloudfront.net/production/podcast_uploaded_episode400/1553803/1553803-1673282058500-a6be148254d04.jpg,201,"$302,500","$600,000"
202,LJ Mercurius,RHP,Oklahoma,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fsoonersports.com%2Fimages%2F2025%2F9%2F9%2FLJ_Mercurius_Headshot.jpg&width=180&height=270&type=webp,202,"$299,900","$302,500"
203,Coleton Brady,RHP,TNXL Academy,H,https://www.fieldlevel.com/webapi/v2/LegacyImages/Headshot?Username=coleton.brady&Width=256,203,"$297,400","$500,000"
204,Jaxson Wood,SS,Hoover,H,https://hooversun.com/downloads/47616/download/SUN-SPORTS---Spring-sports-postseason-awards_0K7A1667_Radiant.jpg?cb=7d6ac38482f0ef1685dbc316bbbc22bc&w=640,204,"$295,000","$500,000"
205,Max Buettenback,OF,Nebraska,C,https://huskers.com/imgproxy/q_Uqa3rXBZLEIftfzUAfBZOyy0Op_MZ8JY_r_Eid3ek/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2h1c2tlcnMtY29tLXByb2QvMjAyNC8wMS8yMy9jeDVpQjFHZTMwd2hOaTFEZkl2UlVhdTVHSW41Q1BmUUYzUWtGd0ppLmpwZw.jpg,205,"$292,400","$295,000"
206,Chase Kiker,RHP,Metrolina Christian,H,"https://image.maxpreps.io/rosters/60d8912b-3aa4-4b23-b827-d9905c6c9a93/e/b/c/ebce0823-5f94-4fb2-b227-524471052bb0/original.jpg?version=637927218838026801&width=1024&crop=1:1,smart",206,"$289,900","$500,000"
207,Dillon Moss,C,IMG Academy,H,https://pbs.twimg.com/profile_images/1676802272938819584/ic8YdNfi_400x400.jpg,207,"$287,700","$500,000"
208,TJ McQuillan,3B/OF,Mount Carmel,H,https://pbs.twimg.com/profile_images/1760462393660805121/nZ2ioA6b_400x400.jpg,208,"$285,200","$500,000"
209,Justin Shadek,RHP,Georgia Tech,C,https://scarletknights.com/images/2025/2/11/31_Justin_Shadek.png,209,"$282,900","$285,200"
210,Carson Bailey, LHP,McClennan,C,https://pbs.twimg.com/media/FS1LpDOWUAEH5FP?format=jpg&name=large,210,"$280,800","$282,900"
211,Elijah Underhill,RHP,Austin Peay,C,https://lite987whop.com/wp-content/uploads/sites/5/underhill-3-scaled.jpg,211,"$278,500","$280,800"
212,Drew Christine,LHP,St. Johns College,H,https://pbs.twimg.com/media/GW_BBi7XcAAjnMW.jpg,212,"$276,200","$500,000"
213,Hunter Brown,RHP,North Hunterdon Regional,H,https://bloximages.chicago2.vip.townnews.com/newjerseyhills.com/content/tncms/assets/v3/editorial/7/05/7053b9f8-7fd5-431d-8265-67dd5215baa5/67f965eff10e1.image.jpg?resize=418%2C500,213,"$274,100","$500,000"
214,Kuhio Aloy,OF/1B,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/25-Kuhio-Aloy-BSB-2025-120829-1x1-1.jpg,214,"$272,000","$274,100"
215,Ethan Surowiec,1B/OF,Florida,C,https://assets.northwoodsleague.com/wp-content/uploads/2025/08/93193-Ethan-Surowiec.jpg,215,"$269,700","$272,000"
216,Hudson Flora,C,Foothill,H,https://pbs.twimg.com/profile_images/1769926148413370368/-b5LZE6H_400x400.jpg,216,"$267,700","$500,000"
217,Tommy LaPour,RHP,TCU,C,https://gofrogs.com/images/2024/10/30/Tommy_LaPour_Headshot.png?width=300,217,"$265,400","$267,700"
218,Owen Hull,OF,North Carolina,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Func.sidearmsports.com%2Fimages%2F2025%2F10%2F2%2FHull_Owen.2026.bb.2860.jpg&width=180&height=270&type=webp,218,"$263,500","$265,400"
219,Connor Fennell,RHP,Vanderbilt,C,https://vucommodores.com/wp-content/uploads/2025/01/39_Fennell_Connor.jpg,219,"$261,300","$263,500"
220,Levi Nickoli,SS,Homewood,H,https://pbs.twimg.com/profile_images/1853478649170681856/9I02Uvl2_400x400.jpg,220,"$259,700","$500,000"
221,Colin Driffill,RHP,Millard North,H,https://pbs.twimg.com/profile_images/1506092756061593607/VrAupmy4_400x400.jpg,221,"$257,700","$500,000"
222,Colin White,LHP,Harrison,H,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAREWFzfJL-j_PP8dTO-Ftkug7aTS4mcF2-Q&s,222,"$256,000","$500,000"
223,Avery Ortiz,SS,Oklahoma State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fokstate.com%2Fimages%2F2024%2F9%2F21%2FOrtiz_AxG8H.JPG&width=180&height=270&type=webp,223,"$254,000","$256,000"
224,Steele Murdock,RHP,UC San Diego,C,https://images.sidearmdev.com/convert?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fucsdtritons.com%2Fimages%2F2025%2F4%2F30%2FSteele_Murdock_vs_CSUN-2.png&type=webp,224,"$252,100","$254,000"
225,Camden Johnson,3B/OF,Oklahoma,C,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLTtTpvctxWZAKcSDiEzFhM2y5Kvxpn_ZivQ&s,225,"$250,300","$252,100"
226,Kam Durnin,SS,Missouri,C,https://pbs.twimg.com/media/GyFxNnPWsAAbXFE?format=jpg&name=small,226,"$248,700","$250,300"
227,Brady Reynolds,OF,Stanford,C,https://gostanford.com/imgproxy/tXqzavBS2YRHpdAi-qWojiDtoA53gQN6cZyZzLd2xOE/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3N0YW5mb3JkLXByb2QvMjAyNC8wMS8yMi91YjFUaVVwQUJtR1JZMVBES2tBM3VXY1pPZlYwdkdLN3pheWNpcUtkLmpwZw.jpg,227,"$247,200","$248,700"
228,Matt Scott,RHP,Georgia,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgeorgiadogs.com%2Fimages%2F2025%2F8%2F19%2FScott__Matt.JPG&width=180&height=270&type=webp,228,"$245,400","$247,200"
229,Matthew Sharman,RHP,Etowah,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/h23cauhioddhrj9gbrua.jpg",229,"$243,300","$500,000"
230,Dylan Blomker,RHP,La Cueva,H,https://borasclassic.com/wp-content/uploads/2025/03/Dylan-Blomker-La-Cueva.jpg,230,"$241,900","$500,000"
231,Jaxon Matthews,OF,Hough,H,https://pbs.twimg.com/media/GFDIJoqWMAA-kIZ?format=jpg&name=large,231,"$239,900","$500,000"
232,Ben Tryon ,1B/OF,Dallas Baptist,C,https://dbupatriots.com/images/2024/12/18/Tryon__Ben.jpg,232,"$238,600","$239,900"
233,Hunter Carns,C,Florida State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ffsuni.sidearmsports.com%2Fimages%2F2024%2F9%2F2%2FCarns__Hunter.JPG&width=180&height=270&type=webp,233,"$236,800","$238,600"
234,Brody Bumila,LHP,Bishop Feehan,H,https://pbs.twimg.com/profile_images/1818043961769951232/5MhaqJ-e_400x400.jpg,234,"$235,200","$500,000"
235,Shawn Sullivan,RHP,Walsh Jesuit,H,https://www.beaconjournal.com/gcdn/authoring/authoring-images/2025/05/01/NABJ/83380424007-walsh-twinsburg-baseball-3.JPG?width=700&height=778&fit=crop&format=pjpg&auto=webp,235,"$233,400","$500,000"
236,Reece Moroney,SS,Rhode Island,C,https://gorhody.com/images/2024/9/23/WEB_Moroney_Reece25_copy.jpg?width=300,236,"$232,000","$233,400"
237,Brandon Stone,RHP,South Carolina,C,https://pbs.twimg.com/profile_images/1828836760324886528/n7LYNsDz_400x400.jpg,237,"$230,400","$232,000"
